Name,Flows,Throughput,Protocol
13_best_bsnl.pcap,7,40000,TCP
13_best_wifi.pcap,1,6581,TCP
13_low_bsnl.pcap,9,35000,TCP
13_low_wifi.pcap,5,12000,TCP
13_medium_bsnl.pcap,10,37000,TCP
13_medium_wifi.pcap,4,31000,TCP
1983_best_wifi.pcap,1,19000,TCP
1983_high_bsnl.pcap,7,41000,TCP
1983_low_bsnl.pcap,9,39000,TCP
1983_low_wifi.pcap,4,31000,TCP
1983_medium_bsnl.pcap,9,43000,TCP
1983_medium_wifi.pcap,10,38000,TCP
abstract_best_wifi.pcap,5,20000,TCP
abstract_high_bsnl.pcap,8,41000,TCP
abstract_low_bsnl.pcap,7,39000,TCP
abstract_low_wifi.pcap,9,38000,TCP
abstract_medium_bsnl.pcap,11,41000,TCP
abstract_medium_wifi.pcap,3,11000,TCP
Amazonprime_best_jio.pcap,1,418,TCP
Amazonprime_better_jio.pcap,1,11000,TCP
Amazonprime_good_jio.pcap,1,5143,TCP
Amazonprime__best_jio.pcap,1,2670,TCP
Amazon_prime_better_jio.pcap,1,10000,TCP
Amazon_prime_good_jio.pcap,1,1742,TCP
dubai_1080_bsnl.pcap,1,11000,UDP
dubai_1080_wifi.pcap,4,94000,UDP
dubai_360_bsnl.pcap,1,101000,UDP
dubai_360_wifi.pcap,1,82000,UDP
dubai_480_bsnl.pcap,3,12000,UDP
dubai_480_wifi.pcap,5,96000,UDP
goliath_best_bsnl.pcap,1,15000,TCP
goliath_best_wifi.pcap,2,9198,TCP
goliath_better_bsnl.pcap,1,13000,TCP
goliath_better_wifi.pcap,1,15000,TCP
goliath_good_bsnl.pcap,1,12000,TCP
goliath_good_wifi.pcap,2,7718,TCP
highcastle_best_bsnl.pcap,1,10000,TCP
highcastle_best_wifi.pcap,1,27000,TCP
highcastle_better_bsnl.pcap,1,9851,TCP
highcastle_better_wifi.pcap,1,14000,TCP
highcastle_good_bsnl.pcap,1,9416,TCP
highcastle_good_wifi.pcap,2,25000,TCP
modernlove_best_bsnl.pcap,1,6015,TCP
modernlove_better_bsnl.pcap,1,9299,TCP
modernlove_good_bsnl.pcap,1,11000,TCP
modern_love_best_wifi.pcap,2,6170,TCP
modern_love_better_wifi.pcap,1,5620,TCP
modern_love_good_wifi.pcap,1,21000,TCP
mouse_best_bsnl.pcap,4,21000,TCP
mouse_best_wifi.pcap,1,11000,TCP
mouse_better_bsnl.pcap,1,10000,TCP
mouse_better_wifi.pcap,1,15000,TCP
mouse_good_bsnl.pcap,1,8707,TCP
mouse_good_wifi.pcap,2,8376,TCP
nature_1080_bnsl.pcap,1,37000,UDP
nature_1080_wifi.pcap,5,116000,UDP
nature_360_bsnl.pcap,1,101000,UDP
nature_360_wifi.pcap,1,82000,UDP
nature_480_bsnl.pcap,3,153000,UDP
nature_480_wifi.pcap,7,68000,UDP
Netflix1_Best_wifi.pcap,1,38000,TCP
Netflix2_Best_wifi.pcap,1,8517,TCP
Netflix3_Best_wifi.pcap,3,8290,TCP
realityhigh_best_wifi.pcap,3,10000,TCP
realityhigh_high_bsnl.pcap,9,36000,TCP
realityhigh_low_bsnl.pcap,9,41000,TCP
realityhigh_low_wifi.pcap,5,22000,TCP
realityhigh_medium_bsnl.pcap,1,4046,TCP
realityhigh_medium_wifi.pcap,3,11000,TCP
ub_1080_bsnl.pcap,1,38000,UDP
ub_1080_wifi.pcap,2,82000,UDP
ub_360_bsnl.pcap,1,51000,UDP
ub_360_wifi.pcap,4,99000,UDP
ub_480_bsnl.pcap,1,11000,UDP
ub_480_wifi.pcap,3,105000,UDP
Youtube1_1080p_vodaphone.pcap,1,1135,UDP
Youtube1_1080_wifi.pcap,1,1051,UDP
Youtube1_360p_vodaphone.pcap,23,3036,UDP
Youtube1_360_wifi.pcap,1,24000,UDP
Youtube1_480p_vodaphone.pcap,3,41000,UDP
Youtube1_480_wifi.pcap,1,1874,UDP
Youtube2_4k_airtel.pcap,3,167000,UDP
Youtube_1080p_vodaphone.pcap,3,17000,UDP
Youtube_1080_wifi.pcap,1,740,UDP
Youtube_360p_vodaphone.pcap,1,1099,UDP
Youtube_360_wifi.pcap,1,1273,UDP
Youtube_480p_airtel.pcap,1,754,UDP
Youtube_480p_vodaphone.pcap,3,20000,UDP
Youtube_480_wifi.pcap,1,1099,UDP
Youtube_4k_airtel.pcap,1,548,UDP
Youtube_720p_airtel.pcap,1,16000,UDP
