Name,Flows,Throughput,Protocol
13_best_wifi.pcap,1,6581,TCP
13_low_wifi.pcap,5,12000,TCP
13_medium_wifi.pcap,4,31000,TCP
1983_best_wifi.pcap,1,19000,TCP
1983_low_wifi.pcap,4,31000,TCP
1983_medium_wifi.pcap,10,38000,TCP
abstract_best_wifi.pcap,5,20000,TCP
abstract_low_wifi.pcap,9,38000,TCP
abstract_medium_wifi.pcap,3,11000,TCP
dubai_1080_wifi.pcap,4,94000,UDP
dubai_360_wifi.pcap,1,82000,UDP
dubai_480_wifi.pcap,5,96000,UDP
goliath_best_wifi.pcap,2,9198,TCP
goliath_better_wifi.pcap,1,15000,TCP
goliath_good_wifi.pcap,2,7718,TCP
highcastle_best_wifi.pcap,1,27000,TCP
highcastle_better_wifi.pcap,1,14000,TCP
highcastle_good_wifi.pcap,2,25000,TCP
modern_love_best_wifi.pcap,2,6170,TCP
modern_love_better_wifi.pcap,1,5620,TCP
modern_love_good_wifi.pcap,1,21000,TCP
mouse_best_wifi.pcap,1,11000,TCP
mouse_better_wifi.pcap,1,15000,TCP
mouse_good_wifi.pcap,2,8376,TCP
nature_1080_wifi.pcap,5,116000,UDP
nature_360_wifi.pcap,1,82000,UDP
nature_480_wifi.pcap,7,68000,UDP
Netflix1_Best_wifi.pcap,1,38000,TCP
Netflix2_Best_wifi.pcap,1,8517,TCP
Netflix3_Best_wifi.pcap,3,8290,TCP
realityhigh_best_wifi.pcap,3,10000,TCP
realityhigh_low_wifi.pcap,5,22000,TCP
realityhigh_medium_wifi.pcap,3,11000,TCP
ub_1080_wifi.pcap,2,82000,UDP
ub_360_wifi.pcap,4,99000,UDP
ub_480_wifi.pcap,3,105000,UDP
Youtube1_1080_wifi.pcap,1,1051,UDP
Youtube1_360_wifi.pcap,1,24000,UDP
Youtube1_480_wifi.pcap,1,1874,UDP
Youtube_1080_wifi.pcap,1,740,UDP
Youtube_360_wifi.pcap,1,1273,UDP
Youtube_480_wifi.pcap,1,1099,UDP
